"vehicle_id";"fuel_id";"vehicle_model_id";"model";"vehicle_brand";"vehicle_image";"vehicle_capacity";"max_speed";"driving_range";"vehicle_subsidy";"battery_type";"dealer_contact";"manufacturer";"manufacturing_country"
1;1;1;"레이 EV 2WD 14인치 4인승 승용";"기아";"car_images/250903_1420420.png";"(경형) 4인승";"135km/h";"(상온) 211km (저온) 176km";"457";"리튬인산철(35.2kWh)";"080-200-2000";"기아";"대한민국"
2;1;2;"더뉴EV6 롱레인지 2WD 20인치";"기아";"car_images/250903_1420441.png";"5인승";"186km/h";"(상온) 462km (저온) 370km";"644";"리튬이온(83.6kWh)";"080-200-2000";"기아";"대한민국"
3;1;2;"더뉴EV6 롱레인지 4WD 19인치";"기아";"car_images/250903_1420452.png";"5인승";"188km/h";"(상온) 461km (저온) 380km";"646";"리튬이온(83.6kWh)";"080-200-2000";"기아";"대한민국"
4;1;2;"더뉴EV6 롱레인지 4WD 20인치";"기아";"car_images/250903_1420463.png";"5인승";"188km/h";"(상온) 437km (저온) 353km";"617";"리튬이온(83.6kWh)";"080-200-2000";"기아";"대한민국"
5;1;2;"더뉴EV6 스탠다드";"기아";"car_images/250903_1420474.png";"5인승";"-";"(상온) 389km (저온) 304km";"582";"리튬이온(63.1kWh)";"080-200-2000";"기아";"대한민국"
6;1;1;"레이 EV 2WD 14인치 1인승 밴";"기아";"car_images/250903_1420475.png";"(경형) 1인승";"135km/h";"(상온) 211km (저온) 176km";"457";"리튬인산철(35.2kWh)";"080-200-2000";"기아";"대한민국"
7;1;1;"레이 EV 2WD 14인치 2인승 밴";"기아";"car_images/250903_1420496.png";"(경형) 2인승";"135km/h";"(상온) 211km (저온) 176km";"457";"리튬인산철(35.2kWh)";"080-200-2000";"기아";"대한민국"
8;1;2;"EV9 롱레인지 GTL 4WD 21인치";"기아";"car_images/250903_1420507.png";"6, 7인승";"200km/h";"(상온) 452km (저온) 321km";"257";"리튬이온(99.8kWh)";"080-200-2000";"기아";"대한민국"
9;1;2;"EV9 스탠다드";"기아";"car_images/250903_1420518.png";"6, 7인승";"190km/h";"(상온) 385km (저온) 307km";"242";"리튬이온(76.2kWh)";"080-200-2000";"기아";"대한민국"
10;1;3;"PV5 패신저 5인승 롱레인지";"기아";"car_images/250903_1420529.png";"5인승";"135km/h";"(상온) 363km (저온) 296km";"468";"리튬이온(71.2kWh)";"080-200-2000";"기아 주식회사";"대한민국"
